Años;Global;África;Americas;Sudeste asiático;Europa;Mediterráneo Este;Pacífico Oeste
2019;873022;618595;21971;29389;106130;18458;78479
2018;360296;125426;16714;34741;89148;64764;29503
2017;173457;72603;895;28474;24356;36434;10695
2016;132490;36269;97;27530;4440;6275;57879
2015;214808;52758;611;48888;25957;21418;65176
2014;282078;73914;1966;42899;14176;18080;131043
2013;275307;171178;491;24564;26346;20884;31844
2012;212376;108004;143;31582;27379;34504;10764
2011;359332;195620;1348;69546;37101;34667;21050
2010;343806;199174;247;54228;30625;10072;49460
2009;278637;83479;89;84356;7499;36605;66609
2008;278751;37012;206;72547;8879;12120;147987
2007;285031;76410;176;73545;6936;15670;112294
2006;377576;99420;226;98124;53344;23303;103159
2005;585701;316219;85;88973;37338;15069;128017
2004;513406;220180;108;112041;29510;59804;91763
2003;679856;403016;119;94598;28203;52110;101810
2002;586471;288340;2579;76912;46718;42616;129306
2001;849173;491989;548;81771;58364;41103;175398
2000;853479;520102;1754;78558;37421;38592;177052
1999;752407;486660;3209;47741;38811;71562;104424
1998;694466;373149;14330;62759;77872;89478;76878
1997;825673;299623;53567;115844;215767;33085;107787
1996;870218;484914;1910;102205;178345;20249;82595
1995;720391;362925;6478;100900;154107;20607;75374
1994;926808;420193;23784;152106;190910;24578;115237
1993;1143945;395025;57400;141301;341982;50758;157479
1992;1482023;581125;100741;168772;331377;89758;210250
1991;1408399;446517;157602;211085;342322;64177;186696
1990;1374083;481204;218579;224925;234827;59058;155490
1989;1874400;561896;137417;443014;426033;83776;222264
1988;1828659;604244;133244;292916;454328;126977;216950
1987;1873419;641057;151396;319049;335575;171164;255178
1986;2243378;676757;227452;201190;587255;171208;379516
1985;3092393;1142002;199744;244113;646450;229781;630303
1984;3282451;1076106;202758;302042;591807;218335;891403
1983;3819944;1346883;137410;208154;831298;302254;993945
1982;4090001;1342685;153746;258666;900764;331721;1102419
1981;4430074;1413184;252378;305787;812585;453409;1192731
1980;4211431;1240993;257790;199535;851849;341624;1319640